'Fraction Of Low Energy Windows Overall Standard Deviation','LPC Overall Standard Deviation2','Compactness Overall Average','Fraction Of Low Energy Windows Overall Average','Zero Crossings Overall Average','LPC Overall Average1','LPC Overall Average2','LPC Overall Average6','Method of Moments Overall Average1','Method of Moments Overall Average2','Area Method of Moments of MFCCs Overall Average0','Area Method of Moments of MFCCs Overall Average1','Area Method of Moments of MFCCs Overall Average6',Arousal_Mean
-0.109739,-0.120087,-0.222786,0.098279,-0.312672,-0.097923,-0.782436,-0.992039,-0.009744,0.097837,0.874224,-1.46344,-1.043931,-0.197517
1.817451,-1.052894,1.198368,0.61084,-1.594271,-0.349403,0.543679,-0.123764,-1.366003,-0.734486,0.054028,-1.462536,-1.043931,-0.193187
-0.026039,0.145684,-0.053601,-1.953863,-0.320619,0.424622,-0.72632,0.322207,-0.193455,-0.08611,1.211538,-1.461632,-1.043931,0.243072
-0.095615,-0.404967,1.006625,-0.951522,-0.420833,0.383884,0.414168,1.002149,-0.318601,-0.169722,0.85264,-1.460728,-1.043931,-0.236207
-0.64908,-1.26829,-0.910805,-2.851794,-1.649455,-0.797914,1.366084,1.351914,-1.101533,-0.159841,1.27629,-1.459823,-1.043931,0.376292
-1.426966,-0.019337,-0.978479,0.717149,-1.385454,-0.398367,1.856682,0.450037,-1.326548,-0.670636,-0.708944,-1.458918,-1.043931,-0.131506
0.500747,3.333207,-0.053601,0.817763,-0.061915,0.448125,-0.037927,0.182058,-0.514026,-0.452484,-0.849491,-1.458014,-1.043931,-0.171351
0.032551,0.192585,-1.012316,-1.726058,-0.307816,-1.072505,0.96866,1.263867,0.226368,0.798661,1.320462,-1.457108,-1.043931,0.285944
-0.029701,0.305495,1.096857,-0.752193,-0.787257,-0.068545,0.394222,1.632413,-0.462241,-0.133997,0.763292,-1.456203,-1.043931,-0.32897
-0.139034,-0.571725,0.341164,-0.858502,-0.294572,-0.392491,-0.072374,-0.245597,0.157939,0.366157,1.20953,-1.455299,-1.043931,0.031282
