'Compactness Overall Standard Deviation','Fraction Of Low Energy Windows Overall Standard Deviation','Strongest Beat Overall Average','LPC Overall Average6','Method of Moments Overall Average1','Method of Moments Overall Average2','Method of Moments Overall Average3','Method of Moments Overall Average4','Area Method of Moments of MFCCs Overall Average2',Valance_Average
-0.351152,-0.109739,0.880479,-0.992039,-0.009744,0.097837,0.306568,0.084628,-1.642883,-0.215511
0.673485,1.817451,0.883965,-0.123764,-1.366003,-0.734486,-0.1216,-0.340512,-1.647949,-0.265855
-0.105745,-0.026039,-0.398677,0.322207,-0.193455,-0.08611,0.285733,0.100553,-1.651638,0.15521
-0.212004,-0.095615,0.559819,1.002149,-0.318601,-0.169722,0.320111,0.073529,-1.650617,0.14016
-0.136105,-0.64908,0.493595,1.351914,-1.101533,-0.159841,0.94309,0.618346,-1.653955,0.332455
1.131409,-1.426966,-1.120163,0.450037,-1.326548,-0.670636,-0.336204,-0.21022,-1.65879,-0.002104
0.314229,0.500747,-0.736764,0.182058,-0.514026,-0.452484,-0.105973,-0.162446,-1.657184,0.043041
-0.072856,0.032551,0.294925,1.263867,0.226368,0.798661,0.991012,1.029009,-1.656222,0.341733
0.352179,-0.029701,0.305382,1.632413,-0.462241,-0.133997,0.24302,0.144466,-1.659894,-0.227261
1.346456,-0.139034,0.639984,-0.245597,0.157939,0.366157,0.518048,0.308539,-1.660957,0.170613
-0.047556,-0.306957,0.249615,-1.869481,0.476043,0.973486,1.264997,1.229274,-1.658874,-0.038953
-0.890035,-0.051672,-1.852105,-0.061283,-0.192839,-0.101312,0.193015,0.002109,-1.660154,-0.007974
0.906242,-0.957724,0.870023,0.082298,0.633246,0.632956,0.428455,0.48178,-1.661024,0.337704
1.116229,-1.234457,0.601644,-0.996885,-0.161398,-0.004018,0.592013,0.252078,-1.658924,0.331126
-0.609208,-0.230581,0.075343,-0.270678,-0.227978,-0.35975,-0.298701,-0.489143,-1.655344,0.015111
0.197851,-0.261445,0.200819,0.366634,0.476043,0.424685,0.603473,0.330254,-1.655561,-0.064288
-0.432111,-1.043516,0.814256,0.542729,1.053687,0.811582,0.26073,0.346179,-1.65879,-0.224265
-0.088035,-0.261968,-1.210784,-0.588153,0.757775,1.329979,1.493145,1.427126,-1.662253,-0.180511
-0.51813,2.094707,0.336751,0.838171,0.286167,-0.994444,-1.481006,-1.436419,-1.658255,-0.170844
1.685471,2.915489,0.444799,-1.639872,-0.067077,0.218695,0.809744,0.51942,-1.652458,0.382603
0.27375,0.355318,0.744547,1.187937,0.457549,0.224776,-0.049717,-0.173545,-1.653645,0.264396
-0.113335,0.514871,0.559819,-0.042502,1.53146,0.272663,-0.502888,-0.371879,-1.654599,0.160837
-0.700287,0.010056,0.531935,0.424592,-0.456693,-0.135517,0.32532,0.136263,-1.654741,0.072844
-1.170861,-0.955108,0.883965,0.221639,-0.151535,-0.434241,-0.297659,-0.498311,-1.654766,-0.084467
-1.011473,-0.570089,0.883965,-2.488437,-0.069543,-0.132477,0.026332,-0.166789,-1.65403,0.003225
-0.976054,-0.53347,0.883965,-1.966616,0.143143,-0.075468,-0.062219,-0.227109,-1.658389,-0.162939
0.848052,0.238662,0.336751,-0.403132,-0.407991,-0.205447,0.381576,0.139641,-1.66237,-0.134332
-0.085505,-0.797648,0.883965,0.363201,-0.379016,-1.133544,-1.580808,-1.594701,-1.661333,-0.519535
0.615295,-1.441614,-0.461415,0.663087,-0.006045,0.052991,0.186765,0.145431,-1.658263,-0.214605
-0.47006,-0.484819,-1.22124,2.164331,-0.183592,-0.258655,-0.330995,-0.508928,-1.658338,0.005325
-0.659808,-0.448724,0.455256,0.59483,0.090126,-0.15604,-0.300784,-0.410484,-1.659853,0.060206
-0.298023,0.4929,0.483139,-2.54902,-0.482585,-0.596145,-0.002838,-0.14266,-1.656958,0.167425
0.782273,0.454189,-2.897736,0.586954,-1.515808,-1.098579,-0.819586,-0.894981,-1.656506,0.008475
0.354709,0.691164,0.573761,0.240622,-0.92337,-0.515573,-0.108057,-0.328931,-1.659049,-0.125252
-0.45741,-0.25883,0.883965,-1.934305,-0.076324,0.138883,0.518048,0.245322,-1.657293,0.075297
-0.844495,-0.32422,0.866537,-0.601481,-0.307505,-0.400036,0.030499,-0.226627,-1.656247,-0.039434
0.506507,0.88629,0.814256,-0.598048,-0.895628,-0.645552,-0.423713,-0.404211,-1.658999,-0.2288
0.25857,-0.072074,-0.848298,0.501936,-0.517725,-1.144186,-1.501737,-1.580224,-1.660304,0.131253
-0.158874,-0.352992,0.755003,0.38703,0.456933,0.04919,-0.134101,-0.180783,-1.654541,0.144698
0.855642,1.118034,0.52845,-1.670567,-0.406758,-0.005538,0.145094,0.152187,-1.654766,-0.124382
-0.439701,-0.360839,0.76546,-2.357174,0.175817,-0.263976,-0.287241,-0.44909,-1.659827,-0.123855
-0.153814,-1.070719,0.082314,-0.264478,-0.06831,-0.095991,0.203433,-0.066415,-1.658071,0.223167
0.28387,0.219306,0.570275,-0.339722,0.619684,-0.478328,-0.993562,-0.96447,-1.655988,-0.196668
-0.902685,-1.2015,0.744547,-0.909444,0.076563,0.418605,1.079562,0.737057,-1.65444,0.009464
